'Air Quality Statistics by City,2021'
'Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and,for some pollutants,may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 4,2022.'
Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
'Homosassa Springs,FL',141236.00,26140.00,ND,ND,ND,ND,ND,ND,IN,IN,15.00
'Hot Springs,AR',96024.00,26300.00,ND,ND,ND,ND,ND,ND,8.80,23.00,ND
'Houma-Thibodaux,LA',208178.00,26380.00,ND,ND,ND,ND,0.06,ND,6.80,14.00,ND
'Houston-The Woodlands-Sugar Land,TX',5920416.00,26420.00,2.00,ND,12.00,49.00,0.08,103.00,11.40,24.00,16.00
'Huntington-Ashland,WV-KY-OH',364908.00,26580.00,ND,ND,5.00,26.00,0.06,46.00,8.80,22.00,8.00
'Huntsville,AL',417593.00,26620.00,ND,ND,ND,ND,0.06,36.00,7.50,17.00,ND
'Hutchinson,MN',36651.00,26780.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Idaho Falls,ID',133265.00,26820.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Indiana,PA',88880.00,26860.00,ND,ND,ND,ND,0.07,ND,8.50,22.00,20.00
'Indianapolis-Carmel-Anderson,IN',1887877.00,26900.00,2.00,ND,12.00,40.00,0.07,55.00,12.60,32.00,3.00
'Ionia,MI',63905.00,26960.00,ND,0.01,ND,ND,ND,ND,ND,ND,ND
'Iowa City,IA',152586.00,26980.00,ND,ND,ND,ND,ND,ND,8.30,23.00,ND
'Iron Mountain,MI-WI',30591.00,27020.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Ithaca,NY',101564.00,27060.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Jackson,MS',567122.00,27140.00,1.00,ND,ND,ND,0.06,57.00,10.50,21.00,3.00
'Jackson,TN',130011.00,27180.00,ND,ND,ND,ND,ND,ND,7.90,20.00,ND
'Jackson,WY-ID',31464.00,27220.00,1.00,ND,IN,IN,0.07,90.00,5.10,36.00,ND
'Jacksonville,FL',1345596.00,27260.00,1.00,ND,11.00,41.00,0.06,54.00,8.80,18.00,39.00
'Jacksonville,NC',177772.00,27340.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Jamestown-Dunkirk-Fredonia,NY',134905.00,27460.00,ND,ND,ND,ND,0.07,ND,6.70,16.00,3.00
'Janesville-Beloit,WI',160331.00,27500.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Jasper,IN',54734.00,27540.00,ND,ND,ND,ND,ND,30.00,9.40,27.00,ND
'Jefferson City,MO',149807.00,27620.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Johnstown,PA',143679.00,27780.00,1.00,ND,6.00,30.00,0.06,42.00,10.10,22.00,10.00
'Jonesboro,AR',121026.00,27860.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Joplin,MO',175518.00,27900.00,ND,ND,ND,ND,0.06,120.00,IN,IN,ND
'Juneau,AK',31275.00,27940.00,ND,ND,ND,ND,ND,25.00,4.70,17.00,ND
'Kahului-Wailuku-Lahaina,HI',154924.00,27980.00,ND,ND,ND,ND,ND,ND,3.90,7.00,ND
'Kalamazoo-Portage,MI',326589.00,28020.00,ND,ND,ND,ND,0.06,ND,10.60,27.00,ND
'Kalispell,MT',90928.00,28060.00,ND,ND,ND,ND,0.06,93.00,7.80,37.00,ND
'Kansas City,MO-KS',2009342.00,28140.00,1.00,ND,10.00,44.00,0.07,103.00,11.20,31.00,9.00
'Kapaa,HI',67091.00,28180.00,ND,ND,2.00,14.00,ND,ND,3.20,7.00,3.00
'Keene,NH',77117.00,28300.00,ND,ND,ND,ND,0.06,ND,7.60,16.00,ND
'Kennewick-Richland,WA',253340.00,28420.00,ND,ND,ND,ND,0.07,205.00,IN,IN,ND
'Ketchikan,AK',13477.00,28540.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Killeen-Temple,TX',405300.00,28660.00,ND,ND,3.00,21.00,0.07,ND,7.40,19.00,ND
'Kingsport-Bristol-Bristol,TN-VA',309544.00,28700.00,ND,0.07,ND,ND,0.06,ND,7.30,19.00,84.00
'Kingsville,TX',32477.00,28780.00,ND,ND,ND,ND,ND,ND,10.10,29.00,ND
'Kinston,NC',59495.00,28820.00,ND,ND,ND,ND,0.06,37.00,IN,IN,ND
'Klamath Falls,OR',66380.00,28900.00,ND,ND,ND,ND,ND,ND,18.40,83.00,ND
'Knoxville,TN',837571.00,28940.00,0.00,0.05,1.00,5.00,0.06,51.00,11.30,28.00,1.00
'Kokomo,IN',82752.00,29020.00,ND,ND,ND,ND,0.06,ND,8.10,22.00,ND
'Laconia,NH',60088.00,29060.00,ND,ND,ND,ND,0.06,ND,4.90,13.00,ND
'La Crosse-Onalaska,WI-MN',133665.00,29100.00,ND,ND,ND,ND,0.06,ND,8.50,27.00,ND
'Lafayette,LA',466750.00,29180.00,ND,ND,ND,ND,0.06,56.00,7.60,16.00,ND
'Lafayette-West Lafayette,IN',201789.00,29200.00,ND,ND,ND,ND,0.07,ND,8.70,23.00,ND
'La Grande,OR',25748.00,29260.00,ND,ND,ND,ND,ND,42.00,IN,IN,ND
'Lake Charles,LA',199607.00,29340.00,ND,ND,5.00,29.00,0.06,ND,IN,IN,11.00
'Lake City,FL',67531.00,29380.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Lake Havasu City-Kingman,AZ',200186.00,29420.00,ND,ND,ND,ND,ND,84.00,IN,IN,ND
'Lakeland-Winter Haven,FL',602095.00,29460.00,ND,ND,ND,ND,0.06,55.00,8.50,17.00,16.00
'Lancaster,PA',519445.00,29540.00,ND,0.05,ND,ND,0.07,62.00,9.90,26.00,ND
'Lansing-East Lansing,MI',464036.00,29620.00,ND,ND,6.00,38.00,0.06,ND,9.60,23.00,5.00
'Laramie,WY',36299.00,29660.00,ND,ND,IN,IN,0.07,230.00,IN,IN,IN
'Laredo,TX',250304.00,29700.00,1.00,ND,ND,ND,0.06,55.00,10.20,25.00,ND
'Las Cruces,NM',209233.00,29740.00,ND,ND,8.00,48.00,0.09,439.00,9.30,26.00,ND
'Las Vegas-Henderson-Paradise,NV',1951269.00,29820.00,2.00,ND,22.00,53.00,0.08,176.00,9.90,33.00,3.00
'Laurel,MS',84823.00,29860.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Lawrenceburg,TN',41869.00,29980.00,ND,ND,ND,ND,ND,ND,6.80,17.00,ND
'Lawton,OK',130291.00,30020.00,ND,ND,ND,ND,0.07,ND,8.60,21.00,ND
'Lebanon,PA',133568.00,30140.00,ND,ND,ND,ND,0.07,ND,8.40,22.00,ND
'Lewiston,ID-WA',60888.00,30300.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Lewiston-Auburn,ME',107702.00,30340.00,ND,ND,ND,ND,0.06,28.00,6.30,15.00,ND
'Lexington-Fayette,KY',472099.00,30460.00,ND,ND,6.00,IN,0.06,27.00,9.60,23.00,5.00
'Lima,OH',106331.00,30620.00,ND,ND,ND,ND,0.06,ND,6.90,17.00,3.00
'Lincoln,NE',302157.00,30700.00,ND,ND,ND,ND,0.06,ND,7.10,21.00,IN
'Little Rock-North Little Rock-Conway,AR',699757.00,30780.00,1.00,ND,7.00,38.00,0.07,32.00,9.70,25.00,6.00
'Logan,UT-ID',125442.00,30860.00,ND,ND,5.00,31.00,0.07,135.00,8.40,34.00,ND
'London,KY',126369.00,30940.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Longview,TX',214369.00,30980.00,ND,ND,3.00,15.00,0.06,ND,IN,IN,81.00
'Longview,WA',102410.00,31020.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Los Angeles-Long Beach-Anaheim,CA',12828837.00,31080.00,3.00,0.06,25.00,76.00,0.10,113.00,13.40,48.00,4.00
'Louisville/Jefferson County,KY-IN',1235708.00,31140.00,1.00,ND,15.00,50.00,0.07,46.00,11.20,28.00,13.00
'Lubbock,TX',290805.00,31180.00,ND,ND,ND,ND,ND,ND,6.20,19.00,ND
'Ludington,MI',28705.00,31220.00,ND,ND,ND,ND,0.07,ND,ND,ND,ND
'Lumberton,NC',134168.00,31300.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Lynchburg,VA',252634.00,31340.00,ND,ND,ND,ND,ND,ND,6.60,18.00,ND
'Macon,GA',232293.00,31420.00,ND,ND,ND,ND,0.06,ND,9.80,24.00,3.00
'Madera,CA',150865.00,31460.00,ND,ND,6.00,26.00,0.09,198.00,12.40,47.00,ND
'Madison,WI',605435.00,31540.00,ND,ND,ND,ND,0.07,49.00,9.50,27.00,2.00
'Manchester-Nashua,NH',400721.00,31700.00,1.00,ND,ND,ND,0.06,ND,4.50,13.00,1.00
'Manitowoc,WI',81442.00,31820.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Mankato-North Mankato,MN',96740.00,31860.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Marietta,OH',61778.00,31930.00,ND,0.01,ND,ND,0.06,ND,ND,ND,IN
'Marion,NC',44996.00,32000.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Marion,OH',66501.00,32020.00,ND,0.01,ND,ND,ND,ND,ND,ND,ND
'Marshall,MN',25857.00,32140.00,ND,ND,ND,ND,0.07,ND,7.50,30.00,ND
'Marshall,TX',65631.00,32220.00,ND,ND,2.00,15.00,0.06,ND,9.60,22.00,44.00
'Mason City,IA',51749.00,32380.00,ND,ND,ND,ND,ND,57.00,IN,IN,ND
'Mayagüez,PR',106330.00,32420.00,ND,ND,ND,ND,0.04,ND,IN,IN,ND
'McAlester,OK',45837.00,32540.00,ND,0.01,ND,ND,0.07,ND,9.70,28.00,ND
'McAllen-Edinburg-Mission,TX',774769.00,32580.00,ND,ND,ND,ND,0.06,48.00,11.00,26.00,ND
'Medford,OR',203206.00,32780.00,ND,ND,ND,ND,0.07,108.00,14.90,121.00,ND
'Memphis,TN-MS-AR',1324829.00,32820.00,1.00,ND,9.00,37.00,0.07,52.00,9.20,22.00,2.00
'Merced,CA',255793.00,32900.00,ND,ND,7.00,33.00,0.08,79.00,11.30,41.00,ND
'Meridian,MS',107449.00,32940.00,ND,ND,ND,ND,0.05,ND,IN,IN,ND
'Miami,OK',31848.00,33060.00,ND,0.01,ND,ND,0.07,82.00,15.90,50.00,ND
'Miami-Fort Lauderdale-West Palm Beach,FL',5564635.00,33100.00,1.00,ND,13.00,49.00,0.06,73.00,9.50,26.00,2.00
'Michigan City-La Porte,IN',111467.00,33140.00,ND,ND,ND,ND,0.07,ND,8.30,22.00,ND
'Middlesborough,KY',28691.00,33180.00,ND,ND,ND,ND,0.06,ND,10.90,26.00,ND
'Milwaukee-Waukesha-West Allis,WI',1555908.00,33340.00,1.00,ND,13.00,42.00,0.07,70.00,10.20,27.00,IN
'Minneapolis-St. Paul-Bloomington,MN-WI',3348859.00,33460.00,2.00,0.08,8.00,38.00,0.07,115.00,8.80,30.00,14.00
'Minot,ND',69540.00,33500.00,ND,ND,2.00,14.00,0.06,ND,8.60,46.00,8.00
'Missoula,MT',109299.00,33540.00,ND,ND,ND,ND,0.07,84.00,10.80,49.00,ND
'Mobile,AL',412992.00,33660.00,ND,ND,ND,ND,0.06,ND,7.70,16.00,11.00
'Modesto,CA',514453.00,33700.00,1.00,ND,7.00,34.00,0.08,129.00,15.00,43.00,ND
'Monroe,LA',176441.00,33740.00,ND,ND,ND,ND,0.06,ND,7.40,16.00,ND
'Monroe,MI',152021.00,33780.00,ND,ND,ND,ND,ND,86.00,IN,IN,ND
'Montgomery,AL',374536.00,33860.00,ND,ND,ND,ND,0.06,22.00,7.90,18.00,ND
'Morehead City,NC',66469.00,33980.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Morgantown,WV',129709.00,34060.00,ND,ND,ND,ND,0.06,ND,7.70,21.00,10.00
'Morristown,TN',113951.00,34100.00,ND,ND,ND,ND,0.07,ND,ND,ND,ND
'Moscow,ID',37244.00,34140.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Moses Lake,WA',89120.00,34180.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Mount Pleasant,TX',32334.00,34420.00,ND,ND,ND,ND,ND,ND,ND,ND,13.00
'Mount Vernon,IL',38827.00,34500.00,ND,ND,ND,ND,0.07,ND,9.40,20.00,ND
'Mount Vernon,OH',60921.00,34540.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Mount Vernon-Anacortes,WA',116901.00,34580.00,ND,ND,ND,ND,0.04,ND,IN,IN,IN
'Muncie,IN',117671.00,34620.00,ND,0.04,ND,ND,0.06,ND,8.90,24.00,ND
'Muscatine,IA',42745.00,34700.00,ND,ND,ND,ND,ND,44.00,8.80,24.00,28.00
'Muskegon,MI',172188.00,34740.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Muskogee,OK',70990.00,34780.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Myrtle Beach-Conway-North Myrtle Beach,SC-NC',376722.00,34820.00,ND,ND,ND,ND,0.06,ND,IN,IN,IN
'Napa,CA',136484.00,34900.00,1.00,ND,IN,IN,0.05,IN,IN,IN,ND
'Naples-Immokalee-Marco Island,FL',321520.00,34940.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Nashville-Davidson--Murfreesboro--Franklin,TN',1670890.00,34980.00,2.00,ND,13.00,52.00,0.07,50.00,9.40,24.00,4.00
'Natchez,MS-LA',53119.00,35020.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'New Castle,IN',49462.00,35220.00,ND,ND,ND,ND,ND,ND,8.10,24.00,ND
'New Castle,PA',91108.00,35260.00,ND,0.02,ND,ND,0.06,ND,ND,ND,ND
'New Haven-Milford,CT',862477.00,35300.00,1.00,ND,12.00,48.00,0.08,68.00,8.80,22.00,3.00
'New Orleans-Metairie,LA',1189866.00,35380.00,1.00,0.05,9.00,37.00,0.06,45.00,7.60,17.00,56.00
'New York-Newark-Jersey City,NY-NJ-PA',19567410.00,35620.00,2.00,ND,19.00,65.00,0.08,40.00,9.80,26.00,17.00
'Niles-Benton Harbor,MI',156813.00,35660.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Nogales,AZ',47420.00,35700.00,ND,ND,ND,ND,ND,149.00,10.90,30.00,ND
'North Platte,NE',37590.00,35820.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'North Port-Sarasota-Bradenton,FL',702281.00,35840.00,ND,ND,ND,ND,0.06,55.00,8.00,18.00,5.00
'Norwich-New London,CT',274055.00,35980.00,ND,ND,ND,ND,0.07,43.00,7.20,17.00,ND
'Ocala,FL',331298.00,36100.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Odessa,TX',137130.00,36220.00,ND,ND,ND,ND,ND,ND,7.40,18.00,ND
'Ogden-Clearfield,UT',597159.00,36260.00,1.00,ND,11.00,47.00,0.08,86.00,7.70,34.00,ND
'Ogdensburg-Massena,NY',111944.00,36300.00,ND,ND,ND,ND,ND,ND,IN,IN,93.00
'Oklahoma City,OK',1252987.00,36420.00,1.00,ND,13.00,47.00,0.07,64.00,11.20,28.00,1.00
'Olympia-Tumwater,WA',252264.00,36500.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Omaha-Council Bluffs,NE-IA',865350.00,36540.00,1.00,0.09,ND,ND,0.07,70.00,8.90,26.00,48.00
'Orangeburg,SC',92501.00,36700.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Orlando-Kissimmee-Sanford,FL',2134411.00,36740.00,1.00,ND,IN,IN,0.06,51.00,7.60,15.00,IN
'Oshkosh-Neenah,WI',166994.00,36780.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Othello,WA',18728.00,36830.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Ottawa-Peru,IL',154908.00,36860.00,ND,ND,ND,ND,ND,ND,IN,IN,5.00
'Owensboro,KY',114752.00,36980.00,ND,ND,5.00,29.00,0.07,ND,10.30,26.00,7.00
'Oxford,NC',59916.00,37080.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Oxnard-Thousand Oaks-Ventura,CA',823318.00,37100.00,ND,ND,7.00,32.00,0.07,127.00,8.70,20.00,ND
'Paducah,KY-IL',98762.00,37140.00,ND,ND,IN,IN,0.06,29.00,IN,IN,12.00
'Pahrump,NV',43946.00,37220.00,ND,ND,ND,ND,ND,136.00,ND,ND,ND
'Palatka,FL',74364.00,37260.00,ND,ND,ND,ND,ND,48.00,ND,ND,14.00
'Palm Bay-Melbourne-Titusville,FL',543376.00,37340.00,ND,ND,ND,ND,0.06,67.00,8.30,19.00,ND
'Panama City,FL',184715.00,37460.00,ND,ND,ND,ND,0.05,ND,IN,IN,ND
'Parkersburg-Vienna,WV',92673.00,37620.00,ND,ND,ND,ND,0.06,ND,7.90,19.00,16.00
'Payson,AZ',53597.00,37740.00,ND,0.03,ND,ND,0.07,102.00,IN,IN,59.00
'Pensacola-Ferry Pass-Brent,FL',448991.00,37860.00,ND,ND,ND,ND,0.06,40.00,9.40,20.00,5.00
'Peoria,IL',379186.00,37900.00,ND,ND,ND,ND,0.06,ND,9.90,22.00,12.00
'Philadelphia-Camden-Wilmington,PA-NJ-DE-MD',5965343.00,37980.00,1.00,0.00,14.00,54.00,0.08,60.00,10.10,25.00,6.00
'Phoenix-Mesa-Scottsdale,AZ',4192887.00,38060.00,3.00,ND,26.00,59.00,0.08,225.00,12.70,36.00,7.00
'Picayune,MS',55834.00,38100.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Pierre,SD',21361.00,38180.00,ND,ND,ND,ND,ND,ND,3.80,17.00,ND
'Pine Bluff,AR',100258.00,38220.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Pittsburgh,PA',2356285.00,38300.00,4.00,0.00,10.00,36.00,0.07,81.00,11.80,30.00,54.00
'Pittsfield,MA',131219.00,38340.00,ND,ND,ND,ND,0.06,ND,8.30,16.00,ND
'Platteville,WI',51208.00,38420.00,ND,ND,ND,ND,ND,ND,9.60,26.00,ND
'Pocatello,ID',82839.00,38540.00,ND,ND,ND,ND,0.07,102.00,IN,IN,47.00
'Point Pleasant,WV-OH',58258.00,38580.00,ND,ND,ND,ND,ND,ND,ND,ND,57.00
'Ponca City,OK',46562.00,38620.00,ND,ND,ND,ND,ND,ND,11.70,36.00,27.00
'Ponce,PR',350480.00,38660.00,30.00,ND,ND,ND,ND,100.00,IN,IN,ND
'Port Angeles,WA',71404.00,38820.00,0.00,ND,ND,ND,0.06,ND,IN,IN,IN
'Portland-South Portland,ME',514098.00,38860.00,1.00,ND,6.00,39.00,0.07,53.00,7.10,16.00,IN
'Portland-Vancouver-Hillsboro,OR-WA',2226009.00,38900.00,1.00,ND,9.00,31.00,0.06,29.00,6.40,16.00,3.00
'Port St. Lucie,FL',424107.00,38940.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Portsmouth,OH',79499.00,39020.00,ND,ND,ND,ND,ND,36.00,7.10,16.00,15.00
'Prescott,AZ',211033.00,39140.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Price,UT',21403.00,39220.00,ND,ND,2.00,17.00,0.07,ND,IN,IN,ND
'Prineville,OR',20978.00,39260.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Providence-Warwick,RI-MA',1600852.00,39300.00,1.00,ND,16.00,36.00,0.07,29.00,9.30,21.00,3.00
'Provo-Orem,UT',526810.00,39340.00,1.00,ND,9.00,42.00,0.08,100.00,7.70,31.00,ND
'Pueblo,CO',159063.00,39380.00,ND,ND,ND,ND,ND,78.00,IN,IN,ND
'Pullman,WA',44776.00,39420.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Quincy,IL-MO',77314.00,39500.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Raleigh,NC',1130490.00,39580.00,1.00,ND,8.00,31.00,0.07,56.00,9.20,22.00,2.00
'Rapid City,SD',134598.00,39660.00,ND,ND,IN,IN,0.07,168.00,8.10,27.00,4.00
'Reading,PA',411442.00,39740.00,ND,0.03,ND,ND,0.07,ND,8.40,24.00,2.00
'Red Bluff,CA',63463.00,39780.00,ND,ND,ND,ND,0.08,91.00,10.70,71.00,ND
'Redding,CA',177223.00,39820.00,ND,ND,ND,ND,0.07,100.00,11.80,106.00,ND
'Red Wing,MN',46183.00,39860.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Reno,NV',425417.00,39900.00,2.00,ND,12.00,47.00,0.08,284.00,12.40,105.00,3.00
'Richmond,VA',1208101.00,40060.00,1.00,ND,13.00,48.00,0.07,40.00,8.30,19.00,3.00
'Richmond-Berea,KY',99972.00,40080.00,ND,0.02,ND,ND,ND,ND,IN,IN,ND
'Riverside-San Bernardino-Ontario,CA',4224851.00,40140.00,2.00,0.01,30.00,73.00,0.11,345.00,14.70,49.00,2.00
'Riverton,WY',40123.00,40180.00,ND,ND,3.00,21.00,0.07,74.00,8.50,29.00,48.00
'Roanoke,VA',308707.00,40220.00,1.00,ND,5.00,33.00,0.06,ND,8.30,20.00,3.00
'Roanoke Rapids,NC',76790.00,40260.00,ND,ND,1.00,12.00,ND,ND,7.10,17.00,ND
'Rochester,MN',206877.00,40340.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Rochester,NY',1079671.00,40380.00,1.00,ND,7.00,32.00,0.07,24.00,7.20,16.00,2.00
'Rockford,IL',349431.00,40420.00,ND,ND,ND,ND,0.07,ND,9.80,24.00,ND
'Rockland,ME',7297.00,40500.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Rock Springs,WY',43806.00,40540.00,ND,ND,3.00,31.00,0.07,162.00,IN,IN,10.00
'Rocky Mount,NC',152392.00,40580.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Rome,GA',96317.00,40660.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Roseburg,OR',107667.00,40700.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Roswell,NM',65645.00,40740.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Russellville,AR',83939.00,40780.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Rutland,VT',61642.00,40860.00,1.00,ND,6.00,30.00,0.06,37.00,7.80,20.00,2.00
'Sacramento--Roseville--Arden-Arcade,CA',2149127.00,40900.00,1.00,ND,7.00,41.00,0.09,406.00,11.30,57.00,IN
'Saginaw,MI',200169.00,40980.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'St. Cloud,MN',189093.00,41060.00,ND,ND,ND,ND,0.06,ND,8.90,30.00,ND
'St. George,UT',138115.00,41100.00,ND,ND,3.00,25.00,0.07,ND,5.90,19.00,ND
'St. Joseph,MO-KS',127329.00,41140.00,ND,ND,ND,ND,0.06,114.00,8.40,21.00,ND
'St. Louis,MO-IL',2787701.00,41180.00,1.00,0.06,10.00,46.00,0.07,161.00,10.00,23.00,34.00
'St. Marys,PA',13070.00,41260.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Salem,OH',107841.00,41400.00,ND,0.01,ND,ND,ND,32.00,ND,ND,4.00
'Salem,OR',390738.00,41420.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Salina,KS',61697.00,41460.00,ND,0.04,ND,ND,ND,ND,ND,ND,ND
'Salinas,CA',415057.00,41500.00,1.00,ND,3.00,23.00,0.06,70.00,6.70,14.00,ND
'Salisbury,MD-DE',373802.00,41540.00,ND,ND,ND,ND,0.06,ND,IN,IN,IN
'Salt Lake City,UT',1087873.00,41620.00,1.00,ND,16.00,51.00,0.09,103.00,10.30,43.00,7.00
'San Antonio-New Braunfels,TX',2142508.00,41700.00,1.00,ND,7.00,32.00,0.08,87.00,8.90,22.00,3.00
'San Diego-Carlsbad,CA',3095313.00,41740.00,1.00,0.02,13.00,54.00,0.08,119.00,11.20,24.00,1.00
'Sandpoint,ID',40877.00,41760.00,ND,ND,ND,ND,ND,177.00,IN,IN,ND
'Sanford,NC',57866.00,41820.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'San Francisco-Oakland-Hayward,CA',4335391.00,41860.00,2.00,ND,12.00,40.00,0.07,35.00,9.10,23.00,11.00
'San Jose-Sunnyvale-Santa Clara,CA',1836911.00,41940.00,1.00,IN,12.00,39.00,0.07,76.00,10.90,25.00,2.00
'San Juan-Carolina-Caguas,PR',2350126.00,41980.00,2.00,ND,IN,IN,0.04,82.00,8.00,22.00,10.00
'San Luis Obispo-Paso Robles-Arroyo Grande,CA',269637.00,42020.00,ND,ND,4.00,22.00,0.07,115.00,8.00,21.00,2.00
'Santa Cruz-Watsonville,CA',262382.00,42100.00,ND,ND,ND,ND,0.05,ND,5.70,15.00,ND
'Santa Fe,NM',144170.00,42140.00,ND,ND,ND,ND,0.07,ND,5.40,14.00,ND
'Santa Maria-Santa Barbara,CA',423895.00,42200.00,1.00,ND,3.00,20.00,0.06,48.00,6.70,18.00,4.00
'Santa Rosa,CA',483878.00,42220.00,1.00,ND,3.00,20.00,0.06,53.00,IN,IN,ND
'Sault Ste. Marie,MI',38520.00,42300.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Savannah,GA',347611.00,42340.00,ND,ND,ND,ND,0.06,ND,10.10,22.00,50.00
'Sayre,PA',62622.00,42380.00,ND,ND,3.00,20.00,0.06,ND,7.80,18.00,ND
'Scottsbluff,NE',38971.00,42420.00,ND,ND,ND,ND,ND,ND,5.00,17.00,ND
'Scranton--Wilkes-Barre--Hazleton,PA',563631.00,42540.00,1.00,ND,9.00,47.00,0.06,36.00,7.90,20.00,IN
'Searcy,AR',77076.00,42620.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Seattle-Tacoma-Bellevue,WA',3439809.00,42660.00,1.00,ND,16.00,49.00,0.08,22.00,7.10,22.00,3.00
'Sebastian-Vero Beach,FL',138028.00,42680.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Sebring,FL',98786.00,42700.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Seneca,SC',74273.00,42860.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Sevierville,TN',89889.00,42940.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Shawnee,OK',69442.00,43060.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Sheboygan,WI',115507.00,43100.00,ND,ND,ND,ND,0.07,ND,ND,ND,ND
'Shelton,WA',60699.00,43220.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Sheridan,WY',29116.00,43260.00,ND,ND,ND,ND,0.03,65.00,IN,IN,ND
'Show Low,AZ',107449.00,43320.00,ND,ND,ND,ND,0.07,68.00,ND,ND,ND
'Shreveport-Bossier City,LA',439811.00,43340.00,ND,ND,ND,ND,0.06,91.00,9.30,18.00,10.00
'Sierra Vista-Douglas,AZ',131346.00,43420.00,ND,ND,ND,ND,0.07,132.00,IN,IN,ND
'Silver City,NM',29514.00,43500.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Sioux City,IA-NE-SD',168563.00,43580.00,ND,ND,IN,IN,ND,71.00,9.10,23.00,IN
'Sioux Falls,SD',228261.00,43620.00,1.00,ND,IN,IN,0.07,110.00,IN,IN,IN
'Somerset,KY',63063.00,43700.00,ND,ND,ND,ND,0.06,ND,9.00,25.00,ND
